variant,slippage_points_per_leg,trades,total_pnl,avg_trade,win_rate,profit_factor,max_trade_order_drawdown,trade_t_stat_not_sharpe,monthly_count,monthly_positive,monthly_sharpe_ann,monthly_worst,daily_active_count,daily_sharpe_ann_active_days,daily_worst
independent_straddle_base_cost,0.5,2022,142181.12,70.32,0.6993,2.035,-2414.33,13.117,16,16,6.711,1890.43,321,10.456,-1135.81
independent_directional_failure_case,0.5,2022,-6274.53,-3.1,0.2839,0.975,-14095.21,-0.452,16,8,-0.481,-7036.0,321,-0.4,-2283.0
independent_straddle_slippage_stress,0.5,2022,142181.12,70.32,0.6993,2.035,-2414.33,13.117,16,16,6.711,1890.43,321,10.456,-1135.81
independent_straddle_slippage_stress,1.0,2022,101741.12,50.32,0.6889,1.68,-2769.28,9.386,16,16,4.831,389.19,321,7.534,-1255.81
independent_straddle_slippage_stress,1.5,2022,61301.12,30.32,0.6657,1.377,-6288.05,5.655,16,13,2.848,-2570.81,321,4.548,-1410.29
independent_straddle_slippage_stress,2.0,2022,20861.12,10.32,0.6316,1.118,-19830.14,1.925,16,9,0.926,-5530.81,321,1.543,-1590.29
independent_straddle_slippage_stress,2.5,2022,-19578.88,-9.68,0.5861,0.898,-39627.88,-1.806,16,6,-0.815,-8591.32,321,-1.437,-1776.03
clean_eval_straddle_slippage_stress,0.5,1925,137511.45,71.43,0.6992,2.058,-2097.96,13.038,16,16,6.791,2292.95,321,9.989,-903.1
clean_eval_straddle_slippage_stress,1.0,1925,99011.45,51.43,0.6899,1.699,-2519.04,9.388,16,16,4.89,740.19,321,7.236,-983.1
clean_eval_straddle_slippage_stress,1.5,1925,60511.45,31.43,0.6712,1.393,-5378.91,5.737,16,14,2.914,-1819.81,321,4.427,-1210.53
clean_eval_straddle_slippage_stress,2.0,1925,22011.45,11.43,0.6416,1.132,-15847.73,2.087,16,7,1.011,-4379.81,321,1.604,-1450.53
clean_eval_straddle_slippage_stress,2.5,1925,-16488.55,-8.57,0.5927,0.909,-35063.14,-1.563,16,5,-0.71,-7469.11,321,-1.191,-1690.53
purged_clean_eval_straddle_slippage_stress,0.5,1923,133064.58,69.2,0.6947,2.014,-3017.26,12.729,16,16,6.912,2292.95,320,9.748,-1886.93
purged_clean_eval_straddle_slippage_stress,1.0,1923,94604.58,49.2,0.6843,1.661,-3633.26,9.05,16,16,4.941,296.93,320,6.967,-2046.93
purged_clean_eval_straddle_slippage_stress,1.5,1923,56144.58,29.2,0.6641,1.361,-5539.88,5.371,16,14,2.866,-2263.07,320,4.136,-2206.93
purged_clean_eval_straddle_slippage_stress,2.0,1923,17684.58,9.2,0.6349,1.105,-16136.64,1.692,16,8,0.861,-5117.41,320,1.297,-2366.93
purged_clean_eval_straddle_slippage_stress,2.5,1923,-20775.42,-10.8,0.5939,0.887,-37822.46,-1.987,16,5,-0.947,-8197.41,320,-1.511,-2526.93
label_shuffle_straddle_slippage_stress,0.5,0,0.0,0.0,0.0,,0.0,,0,0,,,0,,
label_shuffle_straddle_slippage_stress,1.0,0,0.0,0.0,0.0,,0.0,,0,0,,,0,,
label_shuffle_straddle_slippage_stress,1.5,0,0.0,0.0,0.0,,0.0,,0,0,,,0,,
label_shuffle_straddle_slippage_stress,2.0,0,0.0,0.0,0.0,,0.0,,0,0,,,0,,
label_shuffle_straddle_slippage_stress,2.5,0,0.0,0.0,0.0,,0.0,,0,0,,,0,,
