fold,conf_thr,tp_m,sl_m,slippage_points_per_leg,trades,total_pnl,win_rate,profit_factor
0,0.5,0.8,0.4,0.5,437,15613.36,0.8146,1.725
0,0.5,0.8,0.4,1.0,437,6873.36,0.7368,1.293
0,0.5,0.8,0.4,1.5,437,-1866.64,0.6316,0.929
0,0.5,0.8,0.4,2.0,437,-10606.64,0.5034,0.647
0,0.5,0.8,0.4,2.5,437,-19346.64,0.3867,0.446
0,0.5,1.0,0.3,0.5,437,25160.42,0.6957,1.87
0,0.5,1.0,0.3,1.0,437,16420.42,0.6842,1.52
0,0.5,1.0,0.3,1.5,437,7680.42,0.6659,1.223
0,0.5,1.0,0.3,2.0,437,-1059.58,0.6247,0.972
0,0.5,1.0,0.3,2.5,437,-9799.58,0.5721,0.761
0,0.5,1.2,0.4,0.5,437,15723.05,0.643,1.376
0,0.5,1.2,0.4,1.0,437,6983.05,0.643,1.155
0,0.5,1.2,0.4,1.5,437,-1756.95,0.6293,0.963
0,0.5,1.2,0.4,2.0,437,-10496.95,0.5973,0.796
0,0.5,1.2,0.4,2.5,437,-19236.95,0.5538,0.651
0,0.52,0.8,0.4,0.5,394,15735.01,0.8223,1.825
0,0.52,0.8,0.4,1.0,394,7855.01,0.7589,1.379
0,0.52,0.8,0.4,1.5,394,-24.99,0.6497,0.999
0,0.52,0.8,0.4,2.0,394,-7904.99,0.5152,0.7
0,0.52,0.8,0.4,2.5,394,-15784.99,0.401,0.486
0,0.52,1.0,0.3,0.5,394,25822.56,0.7157,2.022
0,0.52,1.0,0.3,1.0,394,17942.56,0.703,1.651
0,0.52,1.0,0.3,1.5,394,10062.56,0.6904,1.336
0,0.52,1.0,0.3,2.0,394,2182.56,0.6548,1.067
0,0.52,1.0,0.3,2.5,394,-5697.44,0.599,0.839
0,0.52,1.2,0.4,0.5,394,17428.13,0.6624,1.473
0,0.52,1.2,0.4,1.0,394,9548.13,0.6624,1.242
0,0.52,1.2,0.4,1.5,394,1668.13,0.6497,1.04
0,0.52,1.2,0.4,2.0,394,-6211.87,0.6218,0.862
0,0.52,1.2,0.4,2.5,394,-14091.87,0.5812,0.707
0,0.55,0.8,0.4,0.5,335,13589.32,0.8328,1.822
0,0.55,0.8,0.4,1.0,335,6889.32,0.7881,1.388
0,0.55,0.8,0.4,1.5,335,189.32,0.6925,1.01
0,0.55,0.8,0.4,2.0,335,-6510.68,0.5552,0.705
0,0.55,0.8,0.4,2.5,335,-13210.68,0.4299,0.483
0,0.55,1.0,0.3,0.5,335,24417.51,0.7343,2.16
0,0.55,1.0,0.3,1.0,335,17717.51,0.7254,1.775
0,0.55,1.0,0.3,1.5,335,11017.51,0.7164,1.446
0,0.55,1.0,0.3,2.0,335,4317.51,0.6836,1.162
0,0.55,1.0,0.3,2.5,335,-2382.49,0.6328,0.918
0,0.55,1.2,0.4,0.5,335,17245.96,0.6806,1.557
0,0.55,1.2,0.4,1.0,335,10545.96,0.6806,1.319
0,0.55,1.2,0.4,1.5,335,3845.96,0.6716,1.109
0,0.55,1.2,0.4,2.0,335,-2854.04,0.6507,0.924
0,0.55,1.2,0.4,2.5,335,-9554.04,0.609,0.761
0,0.6,0.8,0.4,0.5,257,15873.55,0.8794,2.741
0,0.6,0.8,0.4,1.0,257,10733.55,0.8405,2.094
0,0.6,0.8,0.4,1.5,257,5593.55,0.7549,1.516
0,0.6,0.8,0.4,2.0,257,453.55,0.6148,1.036
0,0.6,0.8,0.4,2.5,257,-4686.45,0.4708,0.686
0,0.6,1.0,0.3,0.5,257,23901.01,0.7782,2.79
0,0.6,1.0,0.3,1.0,257,18761.01,0.7743,2.294
0,0.6,1.0,0.3,1.5,257,13621.01,0.7665,1.869
0,0.6,1.0,0.3,2.0,257,8481.01,0.7354,1.501
0,0.6,1.0,0.3,2.5,257,3341.01,0.6926,1.181
0,0.6,1.2,0.4,0.5,257,21234.09,0.7393,2.124
0,0.6,1.2,0.4,1.0,257,16094.09,0.7393,1.795
0,0.6,1.2,0.4,1.5,257,10954.09,0.7315,1.507
0,0.6,1.2,0.4,2.0,257,5814.09,0.7198,1.253
0,0.6,1.2,0.4,2.5,257,674.09,0.6809,1.027
0,0.65,0.8,0.4,0.5,196,13690.85,0.8929,3.196
0,0.65,0.8,0.4,1.0,196,9770.85,0.8571,2.456
0,0.65,0.8,0.4,1.5,196,5850.85,0.7755,1.789
0,0.65,0.8,0.4,2.0,196,1930.85,0.6327,1.224
0,0.65,0.8,0.4,2.5,196,-1989.15,0.4949,0.808
0,0.65,1.0,0.3,0.5,196,18234.1,0.7857,2.759
0,0.65,1.0,0.3,1.0,196,14314.1,0.7806,2.277
